50-company list,Founded Year,Country,First Product
Apple,1976,US,Apple I
workday,2005,US,Human capital management
Amazon,1994,US,Jeff Bezos' Seattle area garage
Microsoft,1975,US,Altair BASIC
Samsung,1938,South Korea,Black and white television
Huawei,1987,China,Huawei C300
spaceX,2002,US,Falcon 1
IBM,1911,U.S.,Tabulator
SONY,1946,Japan,Electric Rice cooker
Facebook,2004,US,Facebook social media platform
TESLA,2003,US,Tesla Roadster
cisco,1984,US,Network interface card
Moderna,2010,US,Moderna COVID-19 Vaccine
Tencent,1998,China,Tencent QQ
hp,1939,US,audio oscillator
Nike,1964,US,Track Rinning shoes
NETFLIX,1997,US,House of Cards
LG Electronics,1958,South Korea,Washing machine
intel,1968,US,3101 SRAM
DELL,1984,US,Turbo PC
SIEMENS,1847,Germany,Electric Streetcar
Epic Games,1991,US,ZZT
PHILIPS,1891,Netherlands,Light Bulb
MI,2010,China,MI 1
ORACLE,1977,US,Oracle V2
johnson & johnson ,1886,US,Baby powder
SAP,1972,Germany,Financial accounting System -RF
adidas,1949,Germany,Franz Beckenbauer's tracksuit
HITACHI,1910,Japan,Induction motor
COSTCO,1983,US,price club warehouse
Jio,2007,India,Jio phone
Volkswagen,1937,Germany,Vlokswagen Beetle
BOSCH,1886,Germany,Magneto ignition system
AIRBUS,1970,France,AIRBUS-A300
salesforce,1999,US,No Software 2003
Maruti Suzuki India,1981,India,Maruti 800
Uber,2009,US,Taxi services
Bayer,1863,Germany,Aspirin
P&G,1837,Us,lvory soap
Shell,1907,London,Kerosene
TOYOTA,1937,Japan,AA sedan
Nestle,1866,Switzerland,Baby food
ABB,1988,Sweden,Azipod
3M,1902,US,Three-M-ite
Tata,1991,India,Sierra
FCA,2014,Italy,jeep cherokee
NOVARTIS,1996,Switzerland,alizarin blue dye
CocaCola,1892,US,soft drink
VOLVO,1927,Sweden,VOLVO OV4
MCDONALDS,1955,US,Hamburger
